issn,discount,is_flatrate
1547-5786,250,True
1472-5894,250,True
1743-2790,250,True
0010-437X,250,True
1469-9907,250,True
0260-6755,250,True
1743-4777,250,True
0960-1481,250,True
2352-152X,250,True
0963-8237,250,True
1321-103X,250,True
2173-5743,250,True
0004-9441,250,True
2051-1310,250,True
1742-6855,250,True
1502-3869,250,True
1460-3578,250,True
2167-8421,250,True
1612-7064,250,True
1403-4948,250,True
1557-2978,250,True
1348-0715,250,True
2215-0013,250,True
8755-7223,250,True
0016-6995,250,True
1938-8098,250,True
1549-4918,250,True
1471-2598,250,True
1036-1146,250,True
2730-6151,250,True
2445-4249,500,True
1527-2648,500,True
1948-7169,500,True
1461-6734,500,True
0267-7261,500,True
1557-5063,500,True
0145-2096,500,True
1541-0986,500,True
1120-6721,500,True
0023-6438,500,True
0377-8401,500,True
1743-9213,500,True
1873-0604,500,True
1747-4477,500,True
2049-680X,500,True
2196-7008,500,True
1446-1242,500,True
0148-6195,500,True
1470-7853,500,True
1740-8989,500,True
1939-3547,500,True
1521-074X,500,True
2049-1999,500,True
0091-2174,500,True
0735-0198,500,True
1040-8347,500,True
1941-2460,500,True
0022-1554,500,True
1365-263X,500,True
2942-3899,500,True
0961-9534,500,True
1469-9729,500,True
0304-4181,500,True
1465-7279,500,True
0196-9722,250,True
1748-1716,250,True
1741-8399,250,True
2379-8068,250,True
1532-7604,250,True
2167-4736,250,True
1552-4574,250,True
0960-3123,250,True
0883-5403,250,True
1097-4555,250,True
1552-650X,250,True
0022-4480,250,True
1939-2702,250,True
1465-735X,250,True
0735-2751,250,True
1468-2354,150,True
0010-9452,150,True
1350-9462,150,True
1477-2744,150,True
2194-4059,150,True
0963-9489,150,True
0951-4848,150,True
1468-5957,150,True
1095-8339,150,True
1573-4277,150,True
0012-1045,150,True
1879-0844,150,True
1475-3030,150,True
2754-1258,150,True
2059-6553,150,True
1018-3647,150,True
1744-5043,150,True
2150-7686,150,True
1751-8539,150,True
0738-2480,150,True
2330-1619,150,True
0149-1970,150,True
1470-6431,150,True
1940-1574,150,True
2095-1779,150,True
0883-2323,150,True
0340-9767,150,True
1541-1508,150,True
1360-0648,150,True
0165-232X,150,True
1326-4826,150,True
1469-8161,150,True
1469-9346,150,True
2047-6310,150,True
0951-6298,150,True
0037-7996,150,True
0012-821X,1,False
2837-1445,0.25,False
1034-4233,0.25,False
0032-3292,1,False
2155-8256,0.25,False
1544-2217,1,False
1727-5644,1,False
1741-1912,0.25,False
1461-720X,1,False
2044-0251,0.25,False
2150-0908,1,False
1460-1176,1,False
1474-7049,1,False
1942-7867,0.25,False
0967-0769,1,False
0803-9410,1,False
2366-0325,0.25,False
0261-4448,0.25,False
1022-0119,1,False
0266-2426,0.25,False
0301-9233,0.25,False
1946-3014,1,False
1745-5871,0.25,False
1073-7928,0.25,False
1808-8694,1,False
1099-131X,0.25,False
1047-4412,1,False
1750-9467,0.25,False
1521-0588,1,False
2767-3170,0.25,False
0167-7187,1,False
2066-2203,0.25,False
2278-6821,1,False
1533-015X,1,False
1759-7595,1,False
0266-4666,0.25,False
1757-9147,0.25,False
1536-6359,1,False
2193-3804,1,False
1552-3381,1,False
0197-2243,1,False
1470-5958,1,False
2473-0599,0.25,False
1532-6349,1,False
2163-8152,1,False
2043-6858,0.25,False
1757-8442,0.25,False
1546-427X,1,False
0106-2301,0.25,False
1943-281X,0.25,False
1477-0369,0.25,False
0020-7543,1,False
1944-2866,1,False
2300-0929,1,False
0264-0414,1,False
0939-4753,0.2,False
1465-363X,0.25,False
2047-1033,1,False
1539-445X,0.25,False
1578-4126,1,False
1521-0731,0.25,False
1936-1009,0.25,False
1175-8899,0,False
2374-3670,1,False
1881-4204,0.4,False
1532-7876,0.25,False
1877-0320,0.25,False
1745-2627,0.25,False
1552-3543,0.25,False
0306-1973,1,False
1097-0118,0.1,False
1743-9558,1,False
0171-9335,0.25,False
0373-7934,1,False
1558-691X,1,False
2405-500X,0.4,False
0160-3477,1,False
1940-6320,0.25,False
1520-6793,0.2,False
2381-3121,1,False
0019-4522,0.25,False
1099-1069,0.25,False
2191-933X,0.25,False
1469-9400,1,False
0734-242X,0.2,False
1932-846X,0.25,False
1549-9626,1,False
0264-3294,0.2,False
1467-9795,0.25,False
1097-0142,1,False
1687-8140,0.25,False
2352-6734,1,False
1016-4987,1,False
2702-3648,1,False
0029-6651,0.25,False
2631-7877,1,False
1469-9877,1,False
1944-9089,1,False
0022-1678,1,False
2194-1831,0.4,False
1532-4400,0.25,False
1440-1665,0.25,False
2169-2610,1,False
1321-6597,1,False
0924-3453,0.25,False
2376-2977,0.25,False
1746-1561,1,False
2057-1682,1,False
1464-3561,1,False
1446-7887,1,False
1872-9185,0.25,False
1099-1638,0.25,False
0160-2896,1,False
1708-8240,1,False
2754-6349,0.25,False
2329-194X,1,False
1543-5083,0.25,False
2331-253X,1,False
0308-5694,0.15,False
1525-6014,1,False
1520-6564,0.2,False
1741-1343,1,False
1532-2351,1,False
2056-7111,1,False
0270-2711,0.25,False
0192-5121,0.25,False
1552-6372,1,False
1757-9759,1,False
0033-5630,0.25,False
1750-3132,1,False
1751-9004,1,False
2772-9532,0.25,False
1479-4802,1,False
1098-2280,1,False
1748-9326,0.25,False
2634-4041,0.25,False
2048-4887,1,False
1564-698X,0.25,False
1045-4527,0.25,False
1934-9262,0.25,False
1208-6053,1,False
1522-2632,1,False
1469-5820,1,False
2473-4039,1,False
0976-0911,1,False
1062-726X,1,False
1563-5104,1,False
1755-599X,1,False
1038-3441,0.2,False
1925-7082,0.25,False
2405-6324,0.25,False
1946-7842,0.25,False
1467-8640,0.25,False
1042-4431,0.2,False
2643-7961,1,False
0002-7863,0.25,False
1352-2310,0.1,False
1878-6413,1,False
0929-6174,1,False
1468-2265,1,False
2195-8564,1,False
0032-8855,1,False
1868-8888,1,False
1601-5037,0.2,False
1745-1019,1,False
1932-7455,0.25,False
2752-664X,0.25,False
1753-5921,1,False
2041-3084,0.25,False
1747-6704,0.2,False
1751-3480,1,False
2055-7159,1,False
1046-2023,1,False
0026-2692,0.25,False
0844-5621,1,False
2206-3374,1,False
1468-229X,0.4,False
1467-8403,0.25,False
1380-3603,1,False
1740-9314,0.25,False
1573-7861,1,False
2516-1571,1,False
1600-079X,0.25,False
0034-673X,0.25,False
1556-3316,1,False
0169-796X,0.25,False
1865-9403,1,False
0378-8733,0.25,False
0006-3444,0.25,False
1747-6615,1,False
1096-6080,0.25,False
0026-0495,0.25,False
0736-2994,1,False
0167-6393,0.25,False
1479-666X,1,False
1532-4206,0.25,False
0079-6425,1,False
1526-0542,1,False
2214-6628,0.25,False
1745-5200,0.25,False
1363-6820,1,False
0963-7214,1,False
1529-9716,0.25,False
1740-5572,0.25,False
2032-2844,1,False
1471-6836,0.2,False
2194-6124,1,False
1365-2788,1,False
1473-0804,1,False
1745-9192,0.25,False
1474-0044,1,False
2046-9136,1,False
0967-0106,0.25,False
1746-4102,1,False
1477-3880,1,False
2053-9320,1,False
2196-5102,1,False
1520-8583,1,False
1941-8752,0.25,False
1745-4603,0.25,False
0001-6993,0.25,False
0041-008X,1,False
0960-7773,1,False
0334-4355,0.25,False
1749-6292,0.25,False
1523-908X,1,False
1474-7065,1,False
1744-9057,0.25,False
2048-397X,1,False
1469-8668,0.25,False
1868-4890,0.25,False
1466-4356,1,False
0363-7751,1,False
1479-1854,1,False
1521-0669,1,False
1467-6435,0.25,False
0967-0874,0.2,False
1389-0417,1,False
0022-5185,0.2,False
1530-7921,0.25,False
1363-030X,1,False
2451-1781,1,False
0007-1773,1,False
0307-4722,0.25,False
1747-7522,1,False
1534-7605,0.25,False
1439-1589,1,False
1469-2147,1,False
0033-2925,1,False
0261-3794,1,False
1468-2281,1,False
1662-1425,1,False
1616-3028,0.25,False
0022-0507,1,False
0211-5638,1,False
0022-0396,1,False
2772-6533,0.25,False
2156-8952,1,False
1741-2919,0.25,False
2053-4892,0.25,False
1545-7249,1,False
0193-841X,1,False
1543-5326,1,False
2444-569X,1,False
1939-8638,0.25,False
1752-1882,1,False
0942-4040,0.25,False
0022-4545,0.25,False
1477-9145,0.25,False
1469-8099,0.25,False
1470-1332,1,False
1077-6958,1,False
1094-2025,1,False
1742-7673,1,False
1879-3673,0.25,False
1467-999X,1,False
1198-743X,0.2,False
1029-2330,1,False
1130-1473,0.25,False
1835-6419,1,False
1744-8727,1,False
1545-0813,0.25,False
1096-9918,1,False
1559-5692,1,False
1477-2671,1,False
1937-5956,1,False
1067-828X,0.25,False
1475-2719,0.1,False
1756-1183,1,False
2949-7612,0.4,False
2372-7322,0.25,False
1474-7472,1,False
1742-5468,1,False
2373-518X,0.2,False
0308-6534,0.25,False
1360-9939,1,False
1464-410X,0.25,False
0732-5223,0.25,False
1363-4593,1,False
2041-3874,1,False
2352-3522,0.25,False
2192-8029,1,False
1461-7439,0.4,False
2374-474X,0.25,False
1472-8222,0.2,False
1937-2809,0.25,False
2352-5738,0.25,False
1477-8246,0.25,False
2397-3498,0.25,False
2949-8996,1,False
1552-7565,1,False
0888-3270,0.25,False
0079-6727,1,False
1748-0280,0.25,False
0973-0893,0.25,False
1365-2699,1,False
1424-3903,1,False
2164-3075,0.25,False
1531-4995,1,False
1743-940X,1,False
1743-2944,0.25,False
1029-0311,0.25,False
1469-2872,0.2,False
1547-6545,0.25,False
1741-203X,0.25,False
1361-9462,1,False
1754-8845,0.25,False
1467-9957,1,False
1465-7333,0.25,False
1556-6978,0.25,False
1365-3016,0.25,False
1477-2248,1,False
0141-9382,1,False
0001-8686,0.2,False
0014-4797,1,False
2470-9360,0.25,False
2515-7949,1,False
2192-6506,0.25,False
1749-9755,1,False
1932-8494,0.25,False
2772-7246,1,False
0031-1820,0.1,False
0976-3465,1,False
1470-1324,1,False
1744-1358,1,False
1326-0219,1,False
0147-0272,0.25,False
1467-1131,0.2,False
1475-5890,1,False
8756-4793,0.25,False
1477-4593,1,False
1521-690X,0.1,False
1776-9817,1,False
0956-0599,0.2,False
1743-7288,0.25,False
1467-0100,0.25,False
2753-3735,1,False
1032-3732,0.25,False
0094-730X,1,False
2167-776X,1,False
2640-8066,1,False
2573-1815,0.25,False
2517-5025,1,False
1528-008X,1,False
1520-5118,0.25,False
0973-0656,1,False
1521-3749,1,False
0378-5173,0.25,False
2048-4054,1,False
1478-5153,0.25,False
2688-3600,1,False
2755-1946,1,False
0171-5860,0.25,False
1727-9380,1,False
2210-7401,0.25,False
1399-0004,1,False
1208-6029,1,False
1532-2750,1,False
2047-217X,0.25,False
1502-3923,0.25,False
1613-6829,1,False
1547-2442,0.2,False
2941-2552,1,False
1097-8526,0.25,False
2163-3150,0.25,False
0308-1060,1,False
2049-677X,1,False
1741-1440,0.1,False
2754-124X,0.2,False
1552-3519,1,False
1447-0594,0.25,False
1472-5886,1,False
1868-0267,1,False
2210-8440,1,False
0030-9230,1,False
2666-2469,1,False
1939-6368,1,False
0005-7967,0.25,False
0003-6870,0.25,False
1540-4781,1,False
1532-2319,1,False
0019-0578,1,False
1948-5875,1,False
1476-4431,1,False
